filename,width,height,class,xmin,ymin,xmax,ymax
01_cc7ff50b_bd11_4288_9b89_a318cbe6e2c7_1024x1024.jpg,1024,1024,fired egg,251,512,423,658
01_cc7ff50b_bd11_4288_9b89_a318cbe6e2c7_1024x1024.jpg,1024,1024,fired egg,405,502,595,638
08c545c708d94efc3ae6d9088211f4c6.jpg,260,260,fired egg,85,67,228,163
1. 149fc63a-f658-4749-8366-92574b5f1113--2017-0906_genius-yogurt-fried-eggs-lemon_bobbi-lin_0912.jpg,753,502,fired egg,166,25,531,390
1. crispy-fried-egg-recipe.jpg,1100,1648,fired egg,171,363,869,1016
10. egg-nests-horiz-640.jpg,640,427,fired egg,93,78,545,393
10. favorite-fried-eggs-recipe-1.jpg,1100,1648,fired egg,128,390,677,959
10. favorite-fried-eggs-recipe-1.jpg,1100,1648,fired egg,745,1147,1092,1635
100. 1464801622258.jpeg,826,620,fired egg,227,59,581,224
100. 1464801622258.jpeg,826,620,fired egg,246,260,599,444
101. o-fried-egg-570.jpg,570,427,fired egg,58,50,493,396
10153357734_db7fd4c29d.jpg,500,375,fired egg,116,131,233,200
10153357734_db7fd4c29d.jpg,500,375,fired egg,298,124,401,221
102. fried-egg-avocado-toast-4-1024x683.jpg,1024,683,fired egg,289,96,781,402
106. 478184-1-eng-gb_indian-spiced-bubble-and-squeak-with-fried-eggs-768x952.jpg,768,952,fired egg,349,350,571,518
107. paleo-breakfast-fried-rice-3.jpg,1200,1800,fired egg,151,357,576,787
107. paleo-breakfast-fried-rice-3.jpg,1200,1800,fired egg,128,850,633,1335
108. 49ba8ea600000578-5453591-image-a-1_1519983659924.jpg,634,423,fired egg,104,98,461,317
11. olive-oil-basted-fried-eggs-ba-041117.jpg,1260,630,fired egg,632,187,867,445
11. olive-oil-basted-fried-eggs-ba-041117.jpg,1260,630,fired egg,914,194,1067,496
112. grilled-asparagus-fried-eggs-pancetta-ck.jpg,1000,750,fired egg,276,41,503,310
113. eggs-2655625_960_720.jpg,960,640,fired egg,198,64,802,581
114. friedeggsonparmesancrustfcm.jpg,744,417,fired egg,115,60,495,405
114. friedeggsonparmesancrustfcm.jpg,744,417,fired egg,5,95,89,416
115. fried-rice-with-spring-vegetables-and-fried-eggs.jpg,1200,675,fired egg,397,198,579,411
115. fried-rice-with-spring-vegetables-and-fried-eggs.jpg,1200,675,fired egg,594,313,844,516
1157218_b6b9bc.jpg,580,773,fired egg,153,235,298,336
117. crispy-fried-egg-2.jpg,1000,667,fired egg,147,60,748,628
118. cheesy-oatmeal-fried-egg-ff.jpg,660,660,fired egg,297,197,559,477
119. sub-buzz-17515-1520830345-11.jpg,700,525,fired egg,196,137,525,385
12. 051110022-01-rice-beans-and-eggs-recipe-main.jpg,600,500,fired egg,118,90,335,233
12. 051110022-01-rice-beans-and-eggs-recipe-main.jpg,600,500,fired egg,81,229,373,371
12. mh_1059_fried_egg_prev_vx.jpg,1280,720,fired egg,606,366,1085,642
120. 1991a91628deb03526ca74068d885c7429356a7a.jpg,516,354,fired egg,130,37,385,197
120. 1991a91628deb03526ca74068d885c7429356a7a.jpg,516,354,fired egg,180,212,463,347
123. fried-18967_960_720.jpg,960,720,fired egg,130,88,866,643
124. fresh-corn-polenta-and-fried-egg-vy-tran-7-of-10-853x1280.jpg,610,916,fired egg,97,288,425,667
126. main-1-blog.jpg,2243,1463,fired egg,1519,833,2243,1290
126. main-1-blog.jpg,2243,1463,fired egg,932,61,1266,601
127. piclbzvxj.jpg,412,232,fired egg,301,57,409,218
127. piclbzvxj.jpg,412,232,fired egg,8,6,193,225
128. olive_oil_fried_eggs_9.jpg,1280,720,fired egg,76,76,1065,623
13. perfect-fried-eggs.jpg,1000,461,fired egg,294,49,753,426
130. chilaquiles-verdes-with-fried-egg-1.jpg,1100,1513,fired egg,278,476,716,944
131. fried-eggs.jpg,3888,2592,fired egg,285,276,2046,1187
131. fried-eggs.jpg,3888,2592,fired egg,1179,1265,3679,2198
131384200405536706.jpg,5000,3632,fired egg,2195,2716,4335,3346
131384200405536706.jpg,5000,3632,fired egg,2005,1636,3305,2486
132. 4660-sweetpotatorosti560.jpg,558,729,fired egg,242,287,416,439
133. eggs-2.jpg,668,796,fired egg,5,22,347,286
133. eggs-2.jpg,668,796,fired egg,584,52,668,264
133. eggs-2.jpg,668,796,fired egg,124,388,572,747
134. cs-fried-eggs.jpg,710,710,fired egg,144,31,639,536
136. fry-egg-with-runny-yolk.1280x600.jpg,1280,600,fired egg,374,113,1044,518
138. chilaquiles-with-shredded-chicken-and-fried-eggs2.jpg,680,1024,fired egg,23,314,283,589
138. chilaquiles-with-shredded-chicken-and-fried-eggs2.jpg,680,1024,fired egg,225,529,363,698
139. ham-potato-hash-with-baked-beans-healthy-fried-eggs.jpg,500,454,fired egg,289,74,399,270
14. basic-fried-eggs-6-930x550.jpg,930,550,fired egg,230,43,369,431
14. basic-fried-eggs-6-930x550.jpg,930,550,fired egg,399,120,591,407
14. pecena_jaja1.jpg,2592,1728,fired egg,616,650,1487,1428
14. pecena_jaja1.jpg,2592,1728,fired egg,1016,121,1920,954
140. 474428695_3647502310001_how-to-fry-an-egg.jpg,480,270,fired egg,188,116,376,250
141. ffe2-l-01.jpg,784,550,fired egg,87,35,642,467
142. eggs20161383_0.jpg,580,580,fired egg,81,1,246,53
142. eggs20161383_0.jpg,580,580,fired egg,147,232,350,338
142. eggs20161383_0.jpg,580,580,fired egg,107,342,247,488
145. ht_vinbgreens_whole_yolk_dm_120228_ms.jpg,413,310,fired egg,11,49,204,208
147. 105014.jpg,600,600,fired egg,92,55,481,252
147. 105014.jpg,600,600,fired egg,56,259,514,485
148. breakfast-fried-eggs-tomato-plate-34634445.jpg,1300,957,fired egg,581,243,947,565
148. breakfast-fried-eggs-tomato-plate-34634445.jpg,1300,957,fired egg,365,543,803,725
15. basic-fried-eggs-6-930x550.jpg,930,550,fired egg,222,49,377,446
15. basic-fried-eggs-6-930x550.jpg,930,550,fired egg,394,118,583,405
15. perfect-fried-egg-5.jpg,650,978,fired egg,200,491,566,783
1503194_20171203094726535016_0.jpg,360,270,fired egg,143,83,244,187
152. elotes-avocado-toast-fried-egg-20.jpg,1360,2040,fired egg,776,377,1089,741
152. elotes-avocado-toast-fried-egg-20.jpg,1360,2040,fired egg,479,974,871,1305
152. elotes-avocado-toast-fried-egg-20.jpg,1360,2040,fired egg,48,1436,430,1772
152. elotes-avocado-toast-fried-egg-20.jpg,1360,2040,fired egg,532,1723,897,1931
153. f87d6799-35b8-4d96-a7c5-c624e1f70938--2015_0112_quick-red-chilaquiles-5651.jpg,1200,1200,fired egg,92,357,427,703
153466354329161cbe763a1.jpg,640,412,fired egg,132,101,511,314
154. 05recipehealth_600-superjumbo.jpg,1536,1024,fired egg,550,254,1095,578
155. fried%20egg%20on%20asparagus.jpg,428,228,fired egg,137,41,285,142
156. cornmeal-cheddar-waffles-with-fried-eggs-avocado-pico-de-gallo5.jpg,600,900,fired egg,357,453,591,665
156. cornmeal-cheddar-waffles-with-fried-eggs-avocado-pico-de-gallo5.jpg,600,900,fired egg,132,157,341,352
157. dd-208-2.jpg,2452,3675,fired egg,9,1470,859,2142
157. dd-208-2.jpg,2452,3675,fired egg,109,2187,1192,3303
16. 15e75029-e7b7-40eb-9e23-a526d174c925.jpg,800,450,fired egg,203,123,489,314
16. 15e75029-e7b7-40eb-9e23-a526d174c925.jpg,800,450,fired egg,453,250,693,402
161. maxresdefault.jpg,1280,720,fired egg,292,13,1187,625
162. fried-eggs-french-fries-ketchup-white-plate-53320158.jpg,1300,957,fired egg,206,460,781,739
162. fried-eggs-french-fries-ketchup-white-plate-53320158.jpg,1300,957,fired egg,878,467,1300,800
163. carrot-bacon-kale-hash-7.jpg,650,975,fired egg,237,503,569,719
